aX,aY,aZ,gX,gY,gZ
0.648,-0.966,0.583,21.545,11.292,5.554
0.745,-0.978,0.588,19.47,-9.766,10.559
0.895,-0.995,0.504,11.353,-19.897,12.268
0.951,-0.997,0.428,-4.456,-43.518,3.906
1.024,-0.954,0.272,-6.653,-54.871,-3.357
1.025,-0.925,0.219,-3.967,-67.383,-6.897
0.976,-0.905,0.179,1.343,-105.164,5.249
0.694,-0.885,0.077,1.465,-121.521,15.076
0.474,-0.886,0.028,3.54,-153.992,28.259
-0.081,-0.95,-0.048,7.996,-161.255,40.71
-0.346,-1.024,-0.021,13.611,-144.714,61.584
-0.738,-1.113,0.06,7.019,-127.869,61.401
-0.838,-1.105,0.086,-13.733,-86.06,45.593
-0.903,-1.038,0.105,-20.386,-66.589,36.987
-0.89,-1.005,0.121,-22.4,-49.561,31.25
-0.866,-0.984,0.145,-15.747,-24.658,30.212
-0.812,-0.995,0.194,-9.583,-17.517,32.349
-0.768,-1.011,0.225,-2.93,-6.897,30.396
-0.645,-0.998,0.256,-5.066,-2.258,24.902
0.954,-0.875,0.337,4.395,24.597,-59.692
1.127,-0.849,0.274,15.625,13.367,-42.603
1.418,-0.842,0.142,22.888,-2.319,-24.17
1.433,-0.86,0.109,27.466,-61.646,13.245
1.025,-0.893,0.021,25.696,-101.257,30.151
0.654,-0.932,-0.049,23.254,-138.794,49.744
0.262,-0.999,-0.113,20.264,-165.527,86.487
-0.375,-1.142,-0.172,20.386,-154.358,92.346
-0.591,-1.214,-0.141,19.958,-115.967,72.815
-0.835,-1.331,-0.03,14.099,-94.849,54.077
-0.868,-1.34,0.021,-10.193,-53.467,18.982
-0.837,-1.255,0.059,-21.301,-36.804,8.728
-0.802,-1.208,0.068,-28.564,-12.634,6.348
-0.709,-1.156,0.104,-28.687,-4.517,9.583
-0.651,-1.132,0.117,-32.593,7.141,12.451
-0.513,-1.056,0.116,-35.95,11.78,10.193
-0.44,-1.011,0.109,-38.879,15.32,5.798
-0.365,-0.969,0.103,-40.771,18.433,-6.897
-0.196,-0.895,0.105,-39.246,18.616,-13.428
1.073,-0.985,0.2,8.301,42.847,-13.977
1.297,-1.062,0.041,18.372,26.001,-19.226
1.59,-1.156,-0.148,21.606,0.854,-16.052
1.591,-1.182,-0.16,17.334,-82.703,19.653
1.139,-1.153,-0.144,6.775,-129.822,50.354
0.736,-1.1,-0.098,-14.038,-195.984,103.21
-0.153,-0.975,0.068,-17.883,-207.153,114.075
-0.519,-0.942,0.15,-17.639,-200.562,114.319
-0.781,-0.93,0.222,-10.132,-145.203,90.698
-1.042,-0.933,0.333,-1.282,-111.328,71.045
-1.079,-0.941,0.363,22.583,-54.565,50.72
-1.046,-1.034,0.372,28.442,-29.541,50.598
-0.986,-1.093,0.346,27.771,15.808,46.448
-0.803,-1.095,0.29,21.973,29.48,39.368
-0.682,-1.06,0.263,13.428,36.987,30.762
-0.456,-1.017,0.198,9.705,33.386,27.588
-0.373,-0.998,0.167,5.859,27.283,22.095
-0.302,-0.974,0.151,1.343,15.137,5.92
-0.179,-0.949,0.164,1.038,9.338,-1.953
1.309,-0.801,-0.099,-2.93,0.366,-22.827
1.373,-0.79,-0.188,8.423,-50.11,-16.113
1.25,-0.887,-0.353,13.367,-78.43,-13.794
1.042,-0.96,-0.37,14.771,-142.334,-5.249
0.322,-1.079,-0.285,9.888,-168.884,7.446
-0.089,-1.101,-0.26,2.563,-185.242,26.55
-0.72,-1.148,-0.264,-3.174,-174.255,67.139
-0.895,-1.206,-0.233,-0.916,-149.109,75.317
-1.001,-1.263,-0.189,-3.479,-91.37,55.42
-1.079,-1.27,-0.144,-8.728,-61.951,40.71
-1.045,-1.218,-0.133,-24.78,-4.822,31.616
-0.873,-1.124,-0.058,-25.452,14.648,34.058
-0.77,-1.105,-0.029,-13.367,20.447,39.612
-0.583,-1.065,-0.034,-12.024,17.09,37.598
-0.498,-1.031,-0.052,-18.372,13.733,25.33
-0.321,-0.963,-0.065,-18.555,11.841,17.883
-0.226,-0.945,-0.056,-10.315,6.165,5.554
-0.072,-0.949,-0.054,-5.432,4.15,2.441
-0.013,-0.963,-0.067,-0.61,3.723,0.122
0.854,-0.924,0.354,-7.69,51.636,-82.581
1.077,-0.858,0.237,5.676,37.415,-49.927
1.421,-0.887,-0.075,20.935,20.264,-16.235
1.492,-0.947,-0.172,44.556,-41.26,45.776
1.222,-1.007,-0.345,44.861,-82.092,64.026
0.891,-1.01,-0.42,44.8,-148.926,83.923
0.147,-1.072,-0.422,50.537,-171.02,93.872
-0.195,-1.136,-0.378,55.359,-179.626,105.347
-0.473,-1.199,-0.32,48.706,-158.997,114.99
-0.841,-1.28,-0.213,38.391,-138.916,107.483
-0.951,-1.31,-0.161,17.09,-95.825,69.031
-1.022,-1.309,-0.05,5.432,-74.524,44.25
-0.99,-1.246,-0.016,-15.93,-37.292,12.634
-0.874,-1.113,0.016,-18.555,-23.193,11.536
-0.801,-1.086,0.025,-14.16,-4.333,18.127
-0.619,-1.031,0.026,-13.428,2.258,16.174
-0.513,-0.987,0.019,-12.817,14.771,2.869
-0.283,-0.932,0.005,-9.827,19.592,-4.944
-0.176,-0.941,0.001,-4.578,23.01,-12.085
1.563,-0.802,-0.321,-13.55,56.519,-8.484
1.872,-0.741,-0.444,-6.836,-12.695,14.343
2.202,-0.633,-0.702,-8.911,-65.491,20.752
2.062,-0.614,-0.779,-9.033,-182.251,5.493
1.08,-0.665,-0.79,-2.747,-237.915,-10.071
0.4,-0.759,-0.725,31.189,-312.622,-19.409
-0.837,-1.058,-0.524,46.875,-312.073,-2.625
-1.235,-1.256,-0.396,36.133,-226.99,34.302
-1.54,-1.45,-0.219,3.418,-167.541,24.719
-1.525,-1.362,-0.174,-30.457,-112.732,-2.38
-1.446,-1.229,-0.138,-39.307,-32.898,-44.495
-1.227,-1.096,-0.132,-16.602,-10.803,-34.912
-1.103,-1.141,-0.159,13.245,14.465,6.531
-0.821,-1.178,-0.204,11.047,21.667,13.794
-0.673,-1.108,-0.227,-5.859,28.931,5.859
-0.381,-0.961,-0.246,-7.812,29.175,1.404
-0.258,-0.931,-0.241,-1.648,25.208,-1.526
-0.099,-0.926,-0.244,1.892,22.522,-1.587
-0.044,-0.93,-0.253,6.104,21.912,-4.578
1.267,-0.774,0.141,3.662,28.137,-25.574
1.409,-0.718,0.029,11.78,-6.47,-23.193
1.461,-0.752,-0.225,26.123,-31.738,-11.414
1.37,-0.857,-0.289,53.772,-88.074,19.165
0.894,-1.085,-0.31,55.237,-116.272,26.184
0.539,-1.117,-0.275,41.138,-158.997,33.02
-0.194,-1.162,-0.187,35.889,-166.077,44.861
-0.518,-1.243,-0.158,32.41,-162.72,59.265
-0.785,-1.323,-0.124,21.24,-132.08,61.218
-1.127,-1.379,-0.042,15.076,-110.596,47.058
-1.196,-1.373,0.007,6.226,-63.904,19.348
-1.167,-1.309,0.081,1.892,-45.349,15.991
-1.1,-1.267,0.091,-10.986,-16.479,24.841
